{'stationid': 84, 'city': 'Brasov', 'temp': 4, 'rain': 0.98, 'wind': 3, 'direction': 'E', 'date': '2.01.2023'} 
{'stationid': 37, 'city': 'Cluj', 'temp': 20, 'rain': 0.21, 'wind': 3, 'direction': 'NW', 'date': '3.01.2023'} 
{'stationid': 26, 'city': 'Cluj', 'temp': 30, 'rain': 0.59, 'wind': 5, 'direction': 'E', 'date': '1.01.2023'} 
{'stationid': 26, 'city': 'Pascani', 'temp': 11, 'rain': 0.73, 'wind': 19, 'direction': 'SW', 'date': '2.01.2023'} 
{'stationid': 53, 'city': 'Cluj', 'temp': 2, 'rain': 0.07, 'wind': 8, 'direction': 'S', 'date': '3.01.2023'} 
{'stationid': 48, 'city': 'Cluj', 'temp': 32, 'rain': 0.18, 'wind': 8, 'direction': 'SE', 'date': '1.01.2023'} 
{'stationid': 35, 'city': 'Cluj', 'temp': 8, 'rain': 0.53, 'wind': 11, 'direction': 'SW', 'date': '3.01.2023'} 
{'stationid': 41, 'city': 'Brasov', 'temp': -6, 'rain': 0.81, 'wind': 18, 'direction': 'NE', 'date': '4.01.2023'} 
{'stationid': 63, 'city': 'Pascani', 'temp': 38, 'rain': 0.28, 'wind': 4, 'direction': 'W', 'date': '2.01.2023'} 
{'stationid': 12, 'city': 'Brasov', 'temp': 33, 'rain': 0.83, 'wind': 20, 'direction': 'NW', 'date': '4.01.2023'} 
{'stationid': 24, 'city': 'Pascani', 'temp': 37, 'rain': 0.02, 'wind': 26, 'direction': 'SE', 'date': '2.01.2023'} 
{'stationid': 18, 'city': 'Brasov', 'temp': 1, 'rain': 0.97, 'wind': 1, 'direction': 'W', 'date': '3.01.2023'} 
{'stationid': 9, 'city': 'Cluj', 'temp': 34, 'rain': 0.06, 'wind': 24, 'direction': 'W', 'date': '2.01.2023'} 
{'stationid': 99, 'city': 'Cluj', 'temp': 27, 'rain': 0.55, 'wind': 7, 'direction': 'NW', 'date': '2.01.2023'} 
{'stationid': 3, 'city': 'Cluj', 'temp': 22, 'rain': 0.11, 'wind': 28, 'direction': 'NW', 'date': '3.01.2023'} 
{'stationid': 44, 'city': 'Cluj', 'temp': 33, 'rain': 0.79, 'wind': 10, 'direction': 'NE', 'date': '2.01.2023'} 
{'stationid': 74, 'city': 'Brasov', 'temp': 19, 'rain': 0.95, 'wind': 5, 'direction': 'SW', 'date': '1.01.2023'} 
{'stationid': 14, 'city': 'Brasov', 'temp': 6, 'rain': 0.41, 'wind': 21, 'direction': 'N', 'date': '4.01.2023'} 
{'stationid': 15, 'city': 'Pascani', 'temp': 24, 'rain': 0.88, 'wind': 17, 'direction': 'SW', 'date': '4.01.2023'} 
{'stationid': 30, 'city': 'Cluj', 'temp': 20, 'rain': 0.91, 'wind': 11, 'direction': 'E', 'date': '4.01.2023'} 
{'stationid': 4, 'city': 'Brasov', 'temp': 15, 'rain': 0.46, 'wind': 17, 'direction': 'NE', 'date': '2.01.2023'} 
{'stationid': 64, 'city': 'Pascani', 'temp': 34, 'rain': 0.92, 'wind': 7, 'direction': 'N', 'date': '2.01.2023'} 
{'stationid': 70, 'city': 'Cluj', 'temp': 18, 'rain': 0.86, 'wind': 1, 'direction': 'NW', 'date': '4.01.2023'} 
{'stationid': 41, 'city': 'Cluj', 'temp': 20, 'rain': 0.13, 'wind': 9, 'direction': 'SE', 'date': '2.01.2023'} 
{'stationid': 15, 'city': 'Cluj', 'temp': 25, 'rain': 0.49, 'wind': 7, 'direction': 'W', 'date': '4.01.2023'} 
{'stationid': 6, 'city': 'Brasov', 'temp': 33, 'rain': 0.93, 'wind': 22, 'direction': 'W', 'date': '3.01.2023'} 
{'stationid': 92, 'city': 'Cluj', 'temp': -5, 'rain': 0.34, 'wind': 15, 'direction': 'SW', 'date': '3.01.2023'} 
{'stationid': 59, 'city': 'Pascani', 'temp': 13, 'rain': 0.82, 'wind': 3, 'direction': 'NE', 'date': '2.01.2023'} 
{'stationid': 7, 'city': 'Cluj', 'temp': 24, 'rain': 0.59, 'wind': 11, 'direction': 'NW', 'date': '3.01.2023'} 
{'stationid': 56, 'city': 'Pascani', 'temp': 14, 'rain': 0.7, 'wind': 5, 'direction': 'E', 'date': '4.01.2023'} 
{'stationid': 16, 'city': 'Brasov', 'temp': 5, 'rain': 0.11, 'wind': 20, 'direction': 'N', 'date': '2.01.2023'} 
{'stationid': 79, 'city': 'Pascani', 'temp': 25, 'rain': 0.74, 'wind': 5, 'direction': 'SW', 'date': '4.01.2023'} 
{'stationid': 14, 'city': 'Brasov', 'temp': 40, 'rain': 0.29, 'wind': 7, 'direction': 'SE', 'date': '3.01.2023'} 
{'stationid': 50, 'city': 'Cluj', 'temp': 8, 'rain': 0.52, 'wind': 8, 'direction': 'W', 'date': '1.01.2023'} 
{'stationid': 86, 'city': 'Cluj', 'temp': 28, 'rain': 0.13, 'wind': 16, 'direction': 'S', 'date': '1.01.2023'} 
{'stationid': 72, 'city': 'Cluj', 'temp': 27, 'rain': 0.7, 'wind': 14, 'direction': 'NW', 'date': '2.01.2023'} 
{'stationid': 66, 'city': 'Brasov', 'temp': 26, 'rain': 0.71, 'wind': 1, 'direction': 'SW', 'date': '3.01.2023'} 
{'stationid': 4, 'city': 'Pascani', 'temp': 28, 'rain': 0.72, 'wind': 17, 'direction': 'NE', 'date': '1.01.2023'} 
{'stationid': 46, 'city': 'Pascani', 'temp': -10, 'rain': 0.34, 'wind': 9, 'direction': 'W', 'date': '4.01.2023'} 
